L-f,L-m,L-h,R-f,R-m,R-h,Index
522,513,522,522,0,533,"(12, 17)"
411,385,396,414,0,406,"(12, 18)"
313,310,318,332,0,320,"(12, 19)"
314,312,318,331,0,313,"(12, 20)"
363,336,347,354,0,342,"(13, 4)"
446,338,347,517,0,410,"(13, 5)"
419,468,751,492,0,429,"(13, 6)"
417,388,732,740,0,524,"(13, 7)"
370,364,369,378,0,366,"(13, 8)"
371,367,370,372,0,371,"(13, 9)"
357,313,313,345,0,316,"(13, 10)"
381,373,377,390,0,377,"(13, 11)"
350,341,349,351,0,356,"(13, 12)"
340,299,302,343,0,301,"(13, 13)"
357,354,360,394,0,358,"(13, 14)"
378,415,401,408,0,396,"(13, 16)"
340,336,361,338,0,356,"(13, 17)"
350,349,393,400,0,369,"(13, 19)"
353,343,337,346,0,336,"(13, 20)"
479,427,434,457,0,434,"(14, 4)"
604,502,562,494,0,540,"(14, 5)"
372,351,367,363,0,365,"(14, 6)"
315,285,291,300,0,296,"(14, 7)"
462,443,449,448,0,441,"(14, 8)"
457,396,407,408,0,398,"(14, 9)"
422,313,316,323,0,330,"(14, 10)"
358,315,313,314,0,313,"(14, 11)"
364,294,371,335,0,363,"(14, 13)"
10000,355,351,362,0,516,"(14, 14)"
406,304,308,324,0,318,"(14, 15)"
402,327,335,357,0,337,"(14, 17)"
345,296,303,317,0,385,"(14, 20)"
364,355,363,374,0,363,"(15, 4)"
393,384,394,395,0,394,"(15, 6)"
519,494,548,545,0,585,"(15, 9)"
403,412,402,433,0,410,"(15, 10)"
438,430,442,448,0,449,"(15, 12)"
494,482,498,507,0,509,"(15, 13)"
499,505,514,505,0,511,"(15, 14)"
417,416,423,417,0,418,"(15, 18)"
434,422,431,443,0,433,"(15, 19)"
