,L-f,L-m,L-h,R-f,R-m,R-h,Index
0,502,509,509,0,489,506,"(1, 4)"
1,405,10000,10000,0,386,10000,"(1, 5)"
2,586,594,600,0,583,597,"(1, 6)"
3,480,10000,513,0,478,508,"(1, 7)"
4,505,521,518,0,508,515,"(1, 8)"
5,659,672,666,0,656,666,"(1, 9)"
6,836,852,861,0,831,855,"(1, 10)"
7,446,448,10000,0,442,10000,"(1, 11)"
8,399,410,10000,0,400,10000,"(1, 12)"
9,469,10000,10000,0,471,485,"(1, 13)"
10,480,503,504,0,491,503,"(1, 14)"
11,455,463,10000,0,455,10000,"(1, 15)"
12,580,593,585,0,574,590,"(1, 16)"
13,551,10000,10000,0,551,10000,"(1, 17)"
14,411,428,428,0,412,426,"(1, 18)"
15,443,10000,461,0,446,10000,"(1, 19)"
16,408,427,426,0,413,426,"(1, 20)"
17,10000,10000,10000,0,10000,10000,"(2, 4)"
18,768,767,10000,0,760,790,"(2, 5)"
19,628,642,10000,0,628,641,"(2, 6)"
20,10000,10000,10000,0,10000,10000,"(2, 7)"
21,702,718,10000,0,709,723,"(2, 8)"
22,10000,10000,10000,0,10000,10000,"(2, 10)"
23,493,521,10000,0,507,515,"(2, 11)"
24,762,793,10000,0,767,781,"(2, 12)"
25,645,655,10000,0,620,651,"(2, 13)"
26,702,732,10000,0,730,734,"(2, 14)"
27,746,841,860,0,789,803,"(2, 15)"
28,10000,10000,10000,0,10000,10000,"(2, 16)"
29,487,520,10000,0,505,516,"(2, 17)"
30,710,736,10000,0,720,769,"(2, 18)"
31,10000,10000,10000,0,10000,10000,"(2, 19)"
32,680,730,10000,0,716,731,"(2, 20)"
33,478,494,480,0,467,481,"(3, 4)"
34,715,713,713,0,703,714,"(3, 5)"
35,470,10000,476,0,469,479,"(3, 6)"
36,655,664,10000,0,656,739,"(3, 7)"
37,534,10000,535,0,527,534,"(3, 8)"
38,10000,10000,10000,0,10000,10000,"(3, 9)"
39,451,454,10000,0,449,464,"(3, 10)"
40,10000,10000,10000,0,10000,10000,"(3, 11)"
41,396,399,402,0,399,406,"(3, 12)"
42,479,478,483,0,474,477,"(3, 13)"
43,507,10000,10000,0,507,10000,"(3, 14)"
44,551,649,10000,0,549,10000,"(3, 16)"
45,427,431,10000,0,422,435,"(3, 17)"
46,501,511,510,0,498,504,"(3, 18)"
47,396,396,402,0,390,405,"(3, 19)"
48,505,507,516,0,500,509,"(3, 20)"
49,447,450,10000,0,445,10000,"(4, 4)"
50,415,424,427,0,417,10000,"(4, 5)"
